Country,Name,Continent
Afghanistan,Afghanistan,Asia
Åland Islands,Åland Islands,Europe
Albania,Albania,Europe
Algeria,Algeria,Africa
American Samoa,American Samoa,Oceania
Andorra,Andorra,Europe
Angola,Angola,Africa
Anguilla,Anguilla,Americas
Antarctica,Antarctica,
Antigua and Barbuda,Antigua and Barbuda,Americas
Argentina,Argentina,Americas
Armenia,Armenia,Asia
Aruba,Aruba,Americas
Australia,Australia,Oceania
Austria,Austria,Europe
Azerbaijan,Azerbaijan,Asia
Bahamas,Bahamas,Americas
Bahrain,Bahrain,Asia
Bangladesh,Bangladesh,Asia
Barbados,Barbados,Americas
Belarus,Belarus,Europe
Belgium,Belgium,Europe
Belize,Belize,Americas
Benin,Benin,Africa
Bermuda,Bermuda,Americas
Bhutan,Bhutan,Asia
Bolivia,Bolivia,Americas
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",Americas
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe
Botswana,Botswana,Africa
Bouvet Island,Bouvet Island,
Brazil,Brazil,Americas
British Indian Ocean Territory,British Indian Ocean Territory,
Brunei Darussalam,Brunei Darussalam,Asia
Bulgaria,Bulgaria,Europe
Burkina Faso,Burkina Faso,Africa
Burundi,Burundi,Africa
Cambodia,Cambodia,Asia
Cameroon,Cameroon,Africa
Canada,Canada,Americas
Cabo Verde,Cabo Verde ,Africa
Cayman Islands,Cayman Islands,Americas
Central African Republic,Central African Republic,Africa
Chad,Chad,Africa
Chile,Chile,Americas
China,China,Asia
Christmas Island,Christmas Island,
Cocos (Keeling) Islands,Cocos (Keeling) Islands,
Colombia,Colombia,Americas
Comoros,Comoros,Africa
Congo (Brazzaville),Congo (Brazzaville),Africa
Congo (Kinshasa),Congo (Kinshasa),Africa
Cook Islands,Cook Islands,Oceania
Costa Rica,Costa Rica,Americas
Cote d'Ivoire,Cote d'Ivoire,Africa
Croatia,Croatia,Europe
Cuba,Cuba,Americas
Curaçao,Curaçao,Americas
Cyprus,Cyprus,Asia
Czech Republic,Czech Republic,Europe
Denmark,Denmark,Europe
Djibouti,Djibouti,Africa
Dominica,Dominica,Americas
Dominican Republic,Dominican Republic,Americas
Ecuador,Ecuador,Americas
Egypt,Egypt,Africa
El Salvador,El Salvador,Americas
Equatorial Guinea,Equatorial Guinea,Africa
Eritrea,Eritrea,Africa
Estonia,Estonia,Europe
Ethiopia,Ethiopia,Africa
Falkland Islands (Malvinas),Falkland Islands (Malvinas),Americas
Faroe Islands,Faroe Islands,Europe
Fiji,Fiji,Oceania
Finland,Finland,Europe
France,France,Europe
French Guiana,French Guiana,Americas
French Polynesia,French Polynesia,Oceania
French Southern Territories,French Southern Territories,
Gabon,Gabon,Africa
Gambia,Gambia,Africa
Georgia,Georgia,Asia
Germany,Germany,Europe
Ghana,Ghana,Africa
Gibraltar,Gibraltar,Europe
Greece,Greece,Europe
Greenland,Greenland,Americas
Grenada,Grenada,Americas
Guadeloupe,Guadeloupe,Americas
Guam,Guam,Oceania
Guatemala,Guatemala,Americas
Guernsey,Guernsey,Europe
Guinea,Guinea,Africa
Guinea-Bissau,Guinea-Bissau,Africa
Guyana,Guyana,Americas
Haiti,Haiti,Americas
Heard Island and McDonald Islands,Heard Island and McDonald Islands,
Holy See,Holy See,Europe
Honduras,Honduras,Americas
Hong Kong,Hong Kong,Asia
Hungary,Hungary,Europe
Iceland,Iceland,Europe
India,India,Asia
Indonesia,Indonesia,Asia
Iran,Iran,Asia
Iraq,Iraq,Asia
Ireland,Ireland,Europe
Isle of Man,Isle of Man,Europe
Israel,Israel,Asia
Italy,Italy,Europe
Jamaica,Jamaica,Americas
Japan,Japan,Asia
Jersey,Jersey,Europe
Jordan,Jordan,Asia
Kazakhstan,Kazakhstan,Asia
Kenya,Kenya,Africa
Kiribati,Kiribati,Oceania
South Korea,South Korea,Asia
North Korea,North Korea,Asia
Kuwait,Kuwait,Asia
Kyrgyzstan,Kyrgyzstan,Asia
Lao People's Democratic Republic,Lao People's Democratic Republic,Asia
Latvia,Latvia,Europe
Lebanon,Lebanon,Asia
Lesotho,Lesotho,Africa
Liberia,Liberia,Africa
Libya,Libya,Africa
Liechtenstein,Liechtenstein,Europe
Lithuania,Lithuania,Europe
Luxembourg,Luxembourg,Europe
Macao,Macao,Asia
North Macedonia,North Macedonia,Europe
Madagascar,Madagascar,Africa
Malawi,Malawi,Africa
Malaysia,Malaysia,Asia
Maldives,Maldives,Asia
Mali,Mali,Africa
Malta,Malta,Europe
Marshall Islands,Marshall Islands,Oceania
Martinique,Martinique,Americas
Mauritania,Mauritania,Africa
Mauritius,Mauritius,Africa
Mayotte,Mayotte,Africa
Mexico,Mexico,Americas
Micronesia (Federated States of),Micronesia (Federated States of),Oceania
Moldova (Republic of),Moldova (Republic of),Europe
Monaco,Monaco,Europe
Mongolia,Mongolia,Asia
Montenegro,Montenegro,Europe
Montserrat,Montserrat,Americas
Morocco,Morocco,Africa
Mozambique,Mozambique,Africa
Myanmar,Myanmar,Asia
Namibia,Namibia,Africa
Nauru,Nauru,Oceania
Nepal,Nepal,Asia
Netherlands,Netherlands,Europe
New Caledonia,New Caledonia,Oceania
New Zealand,New Zealand,Oceania
Nicaragua,Nicaragua,Americas
Niger,Niger,Africa
Nigeria,Nigeria,Africa
Niue,Niue,Oceania
Norfolk Island,Norfolk Island,Oceania
Northern Mariana Islands,Northern Mariana Islands,Oceania
Norway,Norway,Europe
Oman,Oman,Asia
Pakistan,Pakistan,Asia
Palau,Palau,Oceania
"Palestine, State of","Palestine, State of",Asia
Panama,Panama,Americas
Papua New Guinea,Papua New Guinea,Oceania
Paraguay,Paraguay,Americas
Peru,Peru,Americas
Philippines,Philippines,Asia
Pitcairn,Pitcairn,Oceania
Poland,Poland,Europe
Portugal,Portugal,Europe
Puerto Rico,Puerto Rico,Americas
Qatar,Qatar,Asia
Réunion,Réunion,Africa
Romania,Romania,Europe
Russian Federation,Russian Federation,Europe
Rwanda,Rwanda,Africa
Saint Barthélemy,Saint Barthélemy,Americas
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",Africa
Saint Kitts and Nevis,Saint Kitts and Nevis,Americas
Saint Lucia,Saint Lucia,Americas
Saint Martin (French part),Saint Martin (French part),Americas
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Americas
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Americas
Samoa,Samoa,Oceania
San Marino,San Marino,Europe
Sao Tome and Principe,Sao Tome and Principe,Africa
Saudi Arabia,Saudi Arabia,Asia
Senegal,Senegal,Africa
Serbia,Serbia,Europe
Seychelles,Seychelles,Africa
Sierra Leone,Sierra Leone,Africa
Singapore,Singapore,Asia
Sint Maarten (Dutch part),Sint Maarten (Dutch part),Americas
Slovakia,Slovakia,Europe
Slovenia,Slovenia,Europe
Solomon Islands,Solomon Islands,Oceania
Somalia,Somalia,Africa
South Africa,South Africa,Africa
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,
South Sudan,South Sudan,Africa
Spain,Spain,Europe
Sri Lanka,Sri Lanka,Asia
Sudan,Sudan,Africa
Suriname,Suriname,Americas
Svalbard and Jan Mayen,Svalbard and Jan Mayen,Europe
Eswatini,Eswatini,Africa
Sweden,Sweden,Europe
Switzerland,Switzerland,Europe
Syria,Syria,Asia
Taiwan*,Taiwan*,Asia
Tajikistan,Tajikistan,Asia
Tanzania,Tanzania,Africa
Thailand,Thailand,Asia
Timor-Leste,Timor-Leste,Asia
Togo,Togo,Africa
Tokelau,Tokelau,Oceania
Tonga,Tonga,Oceania
Trinidad and Tobago,Trinidad and Tobago,Americas
Tunisia,Tunisia,Africa
Turkey,Turkey,Asia
Turkmenistan,Turkmenistan,Asia
Turks and Caicos Islands,Turks and Caicos Islands,Americas
Tuvalu,Tuvalu,Oceania
Uganda,Uganda,Africa
Ukraine,Ukraine,Europe
United Arab Emirates,United Arab Emirates,Asia
United Kingdom,United Kingdom,Europe
United States of America,United States of America,Americas
United States Minor Outlying Islands,United States Minor Outlying Islands,
Uruguay,Uruguay,Americas
Uzbekistan,Uzbekistan,Asia
Vanuatu,Vanuatu,Oceania
Venezuela,Venezuela,Americas
Vietnam,Vietnam,Asia
Virgin Islands (British),Virgin Islands (British),Americas
Virgin Islands (U.S.),Virgin Islands (U.S.),Americas
Wallis and Futuna,Wallis and Futuna,Oceania
West Bank and Gaza,West Bank and Gaza,Asia
Western Sahara,Western Sahara,Africa
Yemen,Yemen,Asia
Zambia,Zambia,Africa
Zimbabwe,Zimbabwe,Africa
